列号,列名,分类
1,time,时间戳
2,#1磨煤机润滑油箱温度,制粉-磨煤机
3,4号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
4,2号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
5,1号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
6,3号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
7,5号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
8,2号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
9,3号磨煤机电度表,制粉-磨煤机
10,7号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
11,6号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
12,3号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
13,5号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
14,8号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
15,6号磨煤机电度表,制粉-磨煤机
16,7号磨煤机电度表,制粉-磨煤机
17,7号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
18,8号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
19,6号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
20,1号磨煤机高温炉烟温度(选择后）,制粉-磨煤机
21,4号磨煤机高温炉烟流量(选择后）,制粉-磨煤机
22,8号磨煤机电度表,制粉-磨煤机
23,4号磨煤机电度表,制粉-磨煤机
24,2号磨煤机电度表,制粉-磨煤机
25,三选后3号磨煤机出口温度,制粉-磨煤机
26,三选后2号磨煤机出口温度,制粉-磨煤机
27,三选后4号磨煤机出口温度,制粉-磨煤机
28,1号磨煤机出口温度2,制粉-磨煤机
29,三选后5号磨煤机出口温度,制粉-磨煤机
30,1号磨煤机电度表,制粉-磨煤机
31,5号磨煤机电度表,制粉-磨煤机
32,三选后6号磨煤机出口温度,制粉-磨煤机
33,1号磨煤机入口温度2,制粉-磨煤机
34,三选后2号磨煤机入口温度,制粉-磨煤机
35,三选后7号磨煤机出口温度,制粉-磨煤机
36,三选后4号磨煤机入口温度,制粉-磨煤机
37,#4磨煤机干燥风温度(处理后）,制粉-磨煤机
38,三选后3号磨煤机入口温度,制粉-磨煤机
39,三选后8号磨煤机出口温度,制粉-磨煤机
40,三选后6号磨煤机入口温度,制粉-磨煤机
41,#3磨煤机干燥风温度(处理后）,制粉-磨煤机
42,#5磨煤机干燥风温度(处理后）,制粉-磨煤机
43,三选后5号磨煤机入口温度,制粉-磨煤机
44,#6磨煤机干燥风温度(处理后）,制粉-磨煤机
45,三选后8号磨煤机入口温度,制粉-磨煤机
46,三选后7号磨煤机入口温度,制粉-磨煤机
47,#3磨煤机密封风风量,制粉-磨煤机
48,#2磨煤机干燥风温度(处理后）,制粉-磨煤机
49,#8磨煤机干燥风温度(处理后）,制粉-磨煤机
50,#7磨煤机干燥风温度(处理后）,制粉-磨煤机
51,#6磨煤机密封风风量,制粉-磨煤机
52,#1磨煤机干燥风温度(处理后）,制粉-磨煤机
53,#4磨煤机密封风风量,制粉-磨煤机
54,#1磨煤机密封风风量,制粉-磨煤机
55,#2磨煤机密封风风量,制粉-磨煤机
56,#7磨煤机密封风风量,制粉-磨煤机
57,#8磨煤机密封风风量,制粉-磨煤机
58,#5磨煤机密封风风量,制粉-磨煤机
