arm,seed,H1,H6,H18,validation_days,response_days,updates,best_step,stop_reason,active_parameters,valve1_H18,valve1_unsupported,valve1_H18_ci95,valve2_H18,valve2_unsupported,valve2_H18_ci95
blackbox_itransformer,0,0.08979656917831609,0.18451006259349795,0.3735456545891761,13,13,3000,3000,cap,111250,1.2911283052884603e-05,0,"[-0.0002875303610777244, 0.0002450287647736377]",0.001334987542568109,0,"[0.0009737719022310698, 0.001765012496556991]"
blackbox_itransformer,1,0.09588516778345844,0.2037454331506286,0.37560076413430826,13,13,3000,2500,cap,111250,-2.5353064903846165e-05,0,"[-0.0002370981069711538, 0.0001735745943509615]",0.0006781553610777245,0,"[0.0003856414403670874, 0.0009438813038361378]"
blackbox_itransformer,2,0.11523577862100429,0.18465447733212606,0.3627708760417836,13,13,3000,3000,cap,111250,0.00030486278044871795,0,"[9.512681227463943e-05, 0.0005204655573918268]",0.0001825968424479167,0,"[-3.359867976262013e-06, 0.0003840999114207732]"
greybox_steady_none,0,0.2268820080125567,0.5358827553876805,0.9787361805608534,13,13,24000,23800,cap,99,0.0046012682792467945,0,"[0.0022928482446915063, 0.006907376020382613]",0.03258056640625,0,"[0.030307769775390625, 0.03520336444561298]"
greybox_steady_none,1,0.2215675780398438,0.5227490486571953,0.9623327058490134,13,13,24000,24000,cap,99,0.004400986891526443,0,"[0.002161100338666867, 0.006631145966358674]",0.033384313338842155,0,"[0.03101225632887621, 0.03620800311748799]"
greybox_steady_none,2,0.22497166425272588,0.528958124889236,0.966779945523383,13,13,24000,24000,cap,99,0.004435416979667468,0,"[0.0021566909398788065, 0.006716792766864483]",0.03317456367688301,0,"[0.030728196364182694, 0.03598338787372296]"
fusion_gru_norew,0,0.0946490304683098,0.22004039315897356,0.4414137390505439,13,13,24000,21000,cap,65808,-0.19880128518129003,0,"[-0.22856477590707633, -0.16666914132925184]",-0.14525490785256412,0,"[-0.1676643215081631, -0.11913806621844952]"
fusion_gru_norew,1,0.0849915946250497,0.2127368080894985,0.421645295616657,13,13,24000,23600,cap,65808,-0.09011531732021234,0,"[-0.10482500320825823, -0.07525399428147536]",-0.07024716108273237,0,"[-0.08252305250901441, -0.057074230878781065]"
fusion_gru_norew,2,0.09931127663443011,0.24014273661597765,0.46635714227161373,13,13,24000,21000,cap,65808,-0.15290108705178287,0,"[-0.17590543306790868, -0.12756279089511968]",-0.14920493883964345,0,"[-0.17205504882029996, -0.12302097418369393]"
fusion_token_xattn_norew,0,0.11524428774010646,0.3286579635799377,0.7086429539861179,13,13,24000,23800,cap,278248,-0.16102388822115385,0,"[-0.20715403043306793, -0.1191374754294371]",-0.09917125212840545,0,"[-0.13879125937437398, -0.05137481102576624]"
fusion_token_xattn_norew,1,0.10852521902950407,0.2945157117872483,0.6340202498691944,13,13,24000,23600,cap,278248,-0.09411891056941106,0,"[-0.12478008172450922, -0.06479357597155448]",-0.12856687888120993,0,"[-0.16920458866999702, -0.08462449685121194]"
fusion_token_xattn_norew,2,0.11005201785184407,0.295389341234051,0.620268732929416,13,13,24000,22000,cap,278248,-0.12505743564703525,0,"[-0.15533710186298075, -0.09468245677458935]",-0.10225861378205127,0,"[-0.13837273230919472, -0.06321631602751902]"
