model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
ait_balanced,11,complete,13765,1202.3887805617414,15.762952257879078,False,0.5910830348730087,0.5910830348730087,1.3114837612956762,4.269968742504716,2.4602489196695387,36.7484604306519,1.5516173367698987,2.843170639127493,47.57462432670096,0.4058061901634262,0.6537896872088381,0.0,5.888087209094806,0.0
ait_short,11,complete,13765,1202.3887805617414,16.0831097709015,False,0.5905542895197868,0.5905542895197868,1.234868111088872,4.668768720701337,2.2755891769193113,39.646142680197954,1.4496393849452336,2.622496198862791,51.305267333363496,0.40628344913911535,0.653410113011397,0.0,6.538932099858471,0.0
anchored_hold_balanced,11,complete,112570,1199.2049636379816,32.80138234095648,False,0.6920972391963005,0.6920972391963005,1.3415363989770412,1.3286869414150715,1.91401402419433,1.8709576427936554,1.5580161189039547,2.1048398992667594,2.0517145432531834,0.4779982839580589,0.46223857982497574,0.0,2.1112215518105018,0.031818181818181815
anchored_hold_short,11,complete,112570,1199.2049636379816,33.579538215417415,False,0.6676406636834145,0.6676406636834145,1.3035704512149096,1.2984350752085447,1.8565405062399805,1.8209636816754937,1.5155470470587413,2.0408638579150042,1.9951398838311434,0.47448327508433563,0.470884434602452,0.0,2.1112215518105018,0.031818181818181815
attention_concat_balanced,11,complete,13765,1423.0588342668489,13.820533108897507,False,0.6610708013176918,0.6610708013176918,1.3412287440150976,2.048199398443103,2.043233865406364,4.278744122479111,1.5679480582475662,2.2772355725367865,5.022259030491114,0.3892704763356045,0.6728082207331486,0.0,4.674680862282685,0.0
attention_concat_short,11,complete,13765,1423.0588342668489,13.214386542793363,False,0.5880104899406433,0.5880104899406433,1.171981194987893,2.4433401357382536,1.837689611595124,4.899834061507136,1.3666380966703098,2.0595924171308675,5.718665370096763,0.38608295818757726,0.6812184429180419,0.0,5.163691880458941,0.0
direct_balanced,11,complete,102928,39.222639406099916,0.9154640473425388,False,0.6324440538883209,,1.2525116857141256,,1.831544905435294,,1.4592008963227272,2.0245559786756835,,0.4803546218006804,0.47261250121200504,3.2740537516909285,7.046781425718166,0.0
direct_no_action_balanced,11,complete,98832,42.34861216600984,0.8803121251985431,False,0.6499904692173004,,1.2796571105718613,,1.8416420095600188,,1.4895459910233815,2.028970309222738,,0.4787278955974993,0.45181142943368785,0.0,3.9871799361291096,0.2727272727272727
direct_no_action_short,11,complete,98832,42.34861216600984,0.9345705509185791,False,0.6309438273310661,,1.274990040808916,,1.8523019929416478,,1.4896721119681995,2.044739310319225,,0.4733547219157924,0.45654954621327554,0.0,5.550432775827062,0.2727272727272727
direct_short,11,complete,102928,39.222639406099916,0.9242493989877403,False,0.6148193776607513,,1.2292554751038551,,1.8211338259279728,,1.4340675075848897,2.018426609536012,,0.4708474528860058,0.49250225515404167,3.5400923728607836,7.3689432275662625,0.0
gru_balanced,11,complete,18389,542.4963499289006,5.976190353278071,False,0.626541256904602,0.626541256904602,1.3334541395306587,1.698231142014265,1.945567566435784,3.2422654987312853,1.5690917670726776,2.149605375404159,3.7569436176369586,0.3865778356849324,0.6825937744379289,0.0,8.13067704545017,0.0
gru_short,11,complete,18389,542.4963499289006,6.6753633241169155,False,0.5769791826605797,0.5769791826605797,1.2066755667328835,1.6736257672309875,1.7715432764962316,3.1595360161736608,1.4165743614236515,1.9598325130840142,3.654839432487885,0.37917249865785857,0.6953070493101814,0.0,10.3352237460752,0.0
persistence,11,complete,0,0.0,0.1617795662023127,False,1.075048677623272,1.075048677623272,1.5878667123615742,1.5878667123615742,2.0519903264939785,2.0519903264939785,1.7588060572743416,2.2066981978714466,2.2066981978714466,0.5338044853135209,,0.0,0.0,1.0
r4_balanced,11,complete,9642,1159.9823242318816,17.991938513237983,False,0.599861316382885,0.599861316382885,1.1493047196418047,1.2135147769004107,1.6374371070414782,1.7878547520376742,1.3324525207281113,1.8001479028413694,1.979301410416762,0.4001229994395781,0.6550767608360857,0.0,2.1112215518105018,0.031818181818181815
r4_directref_balanced,11,complete,108474,988.1251983758993,10.986158987972885,False,0.6291652247309685,,1.2618539035320282,,1.8449641726911068,,1.4727501297990482,2.0393342624107995,,0.47199069066395655,0.47950129144355785,0.0,4.101075923131248,0.007954545454545454
