model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
hold_h128_balanced,11,complete,34570,705.3152375207283,19.53638079529628,False,0.7051352560520172,0.7051352560520172,1.2464916035532951,1.1976808868348598,1.6946508078835905,1.591201504226774,1.4269437193870544,1.8440372093270223,1.722375043357412,0.45134369720368694,0.5497995201504481,0.0,0.0,0.0
hold_h128_short,11,complete,34570,705.3152375207283,20.553036746103317,False,0.7051352560520172,0.7051352560520172,1.2464916035532951,1.1976808868348598,1.6946508078835905,1.591201504226774,1.4269437193870544,1.8440372093270223,1.722375043357412,0.45134369720368694,0.5497995201504481,0.0,0.0,0.0
hold_h32_balanced,11,complete,34570,399.8463733168319,19.577044046949595,False,0.6723843514919281,0.6723843514919281,1.2252903152257204,1.2705078572034836,1.750256507191807,1.846148961223662,1.4095923031369846,1.9252452378471692,2.038029329230388,0.44804983402380105,0.5677185447092605,0.0,0.0,0.0
hold_h32_short,11,complete,34570,399.8463733168319,19.6639928012155,False,0.6723843514919281,0.6723843514919281,1.2252903152257204,1.2705078572034836,1.750256507191807,1.846148961223662,1.4095923031369846,1.9252452378471692,2.038029329230388,0.44804983402380105,0.5677185447092605,0.0,0.0,0.0
planned_h128_balanced,11,complete,39876,1211.8722200556658,38.22693614335731,False,0.7314026951789856,0.7314026951789856,1.257707130163908,1.204165181145072,1.7039392087608576,1.6065667225047946,1.4331419418255489,1.8526832349598408,1.7407005696247022,0.46349034083665475,0.5232425835332288,0.0,0.0,0.0
planned_h128_short,11,complete,39876,1211.8722200556658,38.25363482674584,False,0.7175608649849892,0.7175608649849892,1.2352678924798965,1.204179024323821,1.6508028344251215,1.5883726351894438,1.4078369016448657,1.7893144817401965,1.7164371721446514,0.4573814577369765,0.5372493827211701,0.0,0.0,0.0
planned_h32_balanced,11,complete,39876,602.4429729445837,36.87500264775008,False,0.6983515024185181,0.6983515024185181,1.2098247818648815,1.3079408779740334,1.6463897009380162,1.8900368977338076,1.3803158750136693,1.791911340629061,2.084068904320399,0.45987479550363514,0.5337743953725212,0.0,0.0,0.0
planned_h32_short,11,complete,39876,602.4429729445837,36.748124619945884,False,0.6983515024185181,0.6983515024185181,1.2098247818648815,1.3079408779740334,1.6463897009380162,1.8900368977338076,1.3803158750136693,1.791911340629061,2.084068904320399,0.45987479550363514,0.5337743953725212,0.0,0.0,0.0
ssm_h128_balanced,11,complete,16453,146.4005843680352,6.214996156748384,False,0.6435291990637779,0.6435291990637779,1.2256183214485645,1.1223580110818148,1.6916685346513987,1.5528029757551849,1.41964802891016,1.84701860571901,1.6962846306463082,0.38377318297617535,0.6808630211301847,0.0,2.6741550712236517,0.0
ssm_h128_short,11,complete,16453,146.4005843680352,6.308012071996927,False,0.6435291990637779,0.6435291990637779,1.2256183214485645,1.1223580110818148,1.6916685346513987,1.5528029757551849,1.41964802891016,1.84701860571901,1.6962846306463082,0.38377318297617535,0.6808630211301847,0.0,2.6741550712236517,0.0
ssm_h32_balanced,11,complete,16453,96.17912620166317,6.129207191057503,False,0.64383614808321,0.64383614808321,1.1883936394006014,1.197928473353386,1.6029000524431467,1.7466624551452696,1.3699128031730652,1.7410688567906618,1.929573782409231,0.38903008316160426,0.6742068979610004,0.0,2.068741411928954,0.0
ssm_h32_short,11,complete,16453,96.17912620166317,6.041887606028467,False,0.6125034540891647,0.6125034540891647,1.2007283009588718,1.2398737482726574,1.7936813598498702,1.8392219580709934,1.3968032499154408,1.991332379480203,2.0390046946704388,0.3790314822977581,0.6919647588479767,0.0,3.025070512943387,0.0
