model,seed,status,parameters,train_seconds,evaluation_seconds,numerical_failure,block_H32_mae_C,native_H32_mae_C,block_H128_mae_C,native_H128_mae_C,block_H512_mae_C,native_H512_mae_C,block_tail_33_128_mae_C,block_tail_129_512_mae_C,native_tail_129_512_mae_C,delta60_mae_C,delta60_correlation,max_pre_onset_response_C,max_unreachable_response_C,mean_near_zero_fraction
ait,11,complete,13765,50.16907206363976,16.60226017702371,False,0.9439434483647346,0.9439434483647346,1.66584044508636,2.56411518715322,1.991653551813215,14.307013225741684,1.9064727773269017,2.1002579207221665,18.22131257193784,0.52564600938876,0.2368107604031501,0.0,3.24542437355268,0.0
anchored_hold,11,complete,112570,56.84098664205521,34.11605346715078,False,0.9329547435045242,0.9329547435045242,1.5444635059684515,1.5126371588557959,2.091573881916702,2.0198287307284772,1.7482997601230938,2.2739440072327852,2.188892588019371,0.4993539674747625,0.4157967542914207,0.0,3.2235201748738973,0.0
attention_concat,11,complete,13765,43.50252241501585,13.421255900058895,False,0.8606291189789772,0.8606291189789772,1.4781460296362638,1.8316636439412832,1.8497480819933116,3.674356340430677,1.6839849998553593,1.9736154327789943,4.288587239260475,0.4997283928022817,0.35315968001886644,0.0,3.815430295495446,0.0
direct,11,complete,102928,1.9714470230974257,0.9395919544622302,False,0.8398181796073914,,1.4401023145765066,,1.9864182262681425,,1.6401970262328784,2.1685235301653543,,0.49688592606042264,0.40601718976172424,3.1001903672317894,7.741529246246046,0.0
direct_no_action,11,complete,98832,1.977285921573639,0.8742426070384681,False,0.8576999977231026,,1.4455546475946903,,1.9475336647592485,,1.6415061975518863,2.114860003814101,,0.5065252715078802,0.34581427972849066,0.0,1.1356673637328072,0.2727272727272727
gru,11,complete,18389,19.611811284907162,6.247570817358792,False,0.9697027131915092,0.9697027131915092,1.585956759750843,1.5608632769435644,2.070236834231764,2.0519022685475647,1.791374775270621,2.2316635257254043,2.215581932415565,0.48616685058473363,0.43342077601713525,0.0,2.9296450530780476,0.0
persistence,11,complete,0,0.0,0.14784875698387623,False,1.075048677623272,1.075048677623272,1.5878667123615742,1.5878667123615742,2.0519903264939785,2.0519903264939785,1.7588060572743416,2.2066981978714466,2.2066981978714466,0.5338044853135209,,0.0,0.0,1.0
r4,11,complete,9642,54.86953961895779,15.915175590198487,False,0.9464246854186058,0.9464246854186058,1.5358261950314045,1.5199040081351995,1.762529589701444,1.9454234186559916,1.7322933649023373,1.8380973879247904,2.0872632221629224,0.5082510730923986,0.371831616389418,0.0,3.2235201748738973,0.0
r4_directref,11,complete,108474,53.46729097003117,11.200198236852884,False,0.8772802352905273,,1.472644479945302,,1.9909378364682198,,1.6710992281635602,2.1637022886425257,,0.5044444298603126,0.3706862318576164,0.0,1.1111311932678518,0.0
r4_mlp,11,complete,18117,55.082723879255354,16.883758541196585,False,0.875043585896492,0.875043585896492,1.4280995465815067,1.4531729519367218,1.7120337607339025,1.9096665838733315,1.6124515334765117,1.806678498784701,2.0618311278522015,0.49058363141392813,0.43978173209669325,0.0,3.109319311245997,0.0
ssm,11,complete,16453,19.47104519000277,6.177782346960157,False,0.823212020099163,0.823212020099163,1.4467883985489607,1.3928889948874712,1.8090626252815127,1.874629125930369,1.6546471913655598,1.92982070085903,2.035209169611335,0.43228291383626666,0.5867803096818724,0.0,3.232331613711949,0.0
