side,time,date,dose,direction,area_R_minus_L,R_left_60,R_right_60,R_left_120,R_right_120,R_left_180,R_right_180,R_left_300,R_right_300
A,2026-01-15 17:42:00+00:00,2026-01-15,3.025,open,0.0283,0.03,0.1199,0.0419,0.024,0.0539,0.048,0.042,0.1199
A,2026-01-15 20:23:30+00:00,2026-01-15,3.968,open,0.3303,0.5031,-0.0599,0.7307,1.8087,1.1259,1.593,1.1978,1.4494
A,2026-01-25 10:17:20+00:00,2026-01-25,4.007,open,-0.1986,0.8745,0.1077,0.8745,0.1796,0.1198,0.2276,0.3235,1.2577
A,2026-01-25 14:42:40+00:00,2026-01-25,3.339,open,0.4582,0.0479,0.0001,0.048,-0.0239,-0.2275,0.048,-0.2395,1.4854
A,2026-02-02 05:16:40+00:00,2026-02-02,3.66,open,0.1921,0.9703,-0.0958,0.2995,-0.1198,-0.4312,-0.0239,-1.641,-0.0239
A,2026-03-23 00:01:50+00:00,2026-03-23,4.088,open,0.4783,0.4313,0.0958,0.6708,0.575,1.5092,2.2759,1.5572,2.4915
A,2026-04-10 00:38:20+00:00,2026-04-10,6.669,open,-0.5779,2.3897,0.1917,3.7312,2.2759,3.4677,3.0426,4.8213,7.3308
B,2026-01-26 05:09:50+00:00,2026-01-26,-14.954,close,-5.3893,4.48,-1.9045,4.4545,-2.1681,4.8497,-1.1858,2.4077,-0.6588
B,2026-01-26 08:06:00+00:00,2026-01-26,11.616,open,-2.7312,4.5742,-0.3833,4.5502,0.551,3.6518,1.2697,1.2576,0.1197
B,2026-02-04 21:12:10+00:00,2026-02-04,3.033,open,-0.4668,-0.0957,-0.6588,-0.2395,-0.6588,-0.2754,-0.8025,-0.3952,-0.8026
B,2026-02-10 06:19:00+00:00,2026-02-10,4.724,open,8.9568,0.1199,7.175,0.3714,8.6124,0.8626,11.1759,1.138,10.7926
B,2026-02-27 05:22:10+00:00,2026-02-27,4.464,open,7.181,0.1498,5.1986,0.581,6.3725,0.8923,8.0973,1.2638,11.4273
B,2026-04-09 00:04:20+00:00,2026-04-09,11.61,open,8.3347,1.1559,7.103,1.9824,10.6966,4.0667,16.0389,3.1443,0.8504
